Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
PADM,8220,400,Public Policy Process,0.88,0.12,0.0,0.0,0.0,0.0,0.0,0.0,Mellott Yazykova,,PADM-8220,2018
PADM,8270,400,Public Personnel Admin,0.86,0.07,0.0,0.0,0.07,0.0,0.0,0.0,Donna Kazia,,PADM-8270,2018
PADM,8410,400,Public Data Analysis,0.56,0.19,0.06,0.0,0.19,0.0,0.0,0.0,Ronald Chrestman,,PADM-8410,2018
PADM,8410,401,Public Data Analysis,0.69,0.25,0.06,0.0,0.0,0.0,0.0,0.0,Ronald Chrestman,,PADM-8410,2018
PADM,8410,402,Public Data Analysis,0.58,0.37,0.05,0.0,0.0,0.0,0.0,0.0,Edmond Bowers,,PADM-8410,2018
PADM,8450,401,Grant Writing for Public Admin,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Katherin Kransteuber,,PADM-8450,2018
PADM,8510,400,Emergency Management Fundam,0.87,0.13,0.0,0.0,0.0,0.0,0.0,0.0,Charles Haynes,,PADM-8510,2018
PADM,8550,400,Homeland Sec and Intelligence,0.73,0.18,0.0,0.0,0.09,0.0,0.0,0.0,David Cook,,PADM-8550,2018
PADM,8620,400,Administrative Leadership,0.85,0.15,0.0,0.0,0.0,0.0,0.0,0.0,Mark Mellott,,PADM-8620,2018
PADM,8780,407,Project Management,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,Sandra Batt,,PADM-8780,2018
PAS,1010,002,Africa Atlantic Wrld,0.18,0.53,0.0,0.0,0.06,0.0,0.0,0.24,Michael Blum,,PAS-1010,2018
PES,2020,001,Soils,0.22,0.47,0.27,0.02,0.02,0.0,0.0,0.02,Dara Park,,PES-2020,2018
PES,4220,001,Major World Crops,0.5,0.45,0.05,0.0,0.0,0.0,0.0,0.0,Sruthi Kutty,,PES-4220,2018
PES,4230,001,Field Crops: Forages,0.47,0.33,0.2,0.0,0.0,0.0,0.0,0.0,Matias Aguerre,,PES-4230,2018
PES,4330,001,Landscape & Turf Weed Mgt,0.13,0.38,0.44,0.06,0.0,0.0,0.0,0.0,Ted Whitwell,,PES-4330,2018
PES,4460,001,Soil Management,0.87,0.07,0.07,0.0,0.0,0.0,0.0,0.0,Dara Park,,PES-4460,2018
PES,4520,001,Soil Fertility and Management,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,Haibo Liu,,PES-4520,2018
PES,4530,001,Soil Fertility Laboratory,0.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,Haibo Liu,,PES-4530,2018
PES,6520,001,Soil Fertility and Management,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,Haibo Liu,,PES-6520,2018
PES,8060,002,Water for Agriculture,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.17,Sarah White,,PES-8060,2018
PES,8090,001,Analytical Technique,0.71,0.14,0.0,0.0,0.0,0.0,0.0,0.14,Tharayil-Santhakumar,,PES-8090,2018
PHIL,1010,001,Intro to Philosophic Problems,0.61,0.24,0.03,0.0,0.0,0.0,0.0,0.12,David Stegall,,PHIL-1010,2018
PHIL,1010,002,Intro to Philosophic Problems,0.49,0.23,0.09,0.06,0.0,0.0,0.0,0.14,David Stegall,,PHIL-1010,2018
PHIL,1010,003,Intro to Philosophic Problems,0.27,0.64,0.03,0.0,0.03,0.0,0.0,0.03,Kelly Smith,,PHIL-1010,2018
PHIL,1010,005,Intro to Philosophic Problems,0.53,0.32,0.03,0.0,0.03,0.0,0.0,0.09,Andrew Garnar,,PHIL-1010,2018
PHIL,1020,001,Introduction to Logic,0.63,0.17,0.06,0.0,0.0,0.0,0.0,0.14,Michael Hannen,,PHIL-1020,2018
PHIL,1020,002,Introduction to Logic,0.68,0.18,0.12,0.0,0.0,0.0,0.0,0.03,Michael Hannen,,PHIL-1020,2018
PHIL,1020,003,Introduction to Logic,0.72,0.17,0.0,0.0,0.06,0.0,0.0,0.06,Michael Hannen,,PHIL-1020,2018
PHIL,1020,004,Introduction to Logic,0.5,0.25,0.2,0.0,0.05,0.0,0.0,0.0,Edyta Kuzian,,PHIL-1020,2018
